,%housh_grandp_resp_for_grandch,avg_houshold_size,avg_bldg_age,gas_leaks,gas_leaks_per_person,geoid,incident_year,lonely_housholder%,lonely_housholder_over65%,mean_houshold_income,median_age,nonfamily_housholds%,not_us_citizen%,total_housing_units,unemployed%,vacant_housing_units%,311compl_per_person
0,9.576837416,3.6,61.37142857,2,0.00041169199999999996,36005000200,2013,18.04008909,11.21009651,72652.0,34.5,19.00519673,11.19802388,1476,8.5,8.7,0.15438449999999998
1,4.164289789,3.04,53.66926677,5,0.0009356289999999999,36005000400,2013,13.51968055,7.187678266,80733.0,35.2,18.88191671,7.821856287,1912,5.7,8.3,0.15737279779999996
2,1.748071979,2.55,53.71929825,11,0.0021093,36005001600,2013,33.47043702,13.98457584,44609.0,39.2,34.03598972,15.81975072,2043,6.6,4.8,0.11984659090909092
3,0.0,2.6,81.91830986,3,0.00117096,36005001900,2013,35.49939832,2.4067388690000002,42285.0,30.5,44.64500602,24.86338798,891,18.5,6.7,0.44457448
4,6.241610737999999,2.84,73.76572668,42,0.004966887,36005002000,2013,28.62416107,12.95302013,34044.0,35.9,29.79865772,9.42526017,3161,13.5,5.7,0.1085619587142857
5,1.4332965819999999,2.82,81.1048951,21,0.004111198,36005002500,2013,27.17750827,12.34840132,26129.0,27.0,32.57993385,25.07830854,2063,12.1,12.1,0.29581048466666665
6,1.227573182,3.0,84.8,9,0.002837327,36005002701,2013,15.39187913,7.4598678,36719.0,32.7,21.15203022,17.55989912,1105,18.5,4.2,0.07692308755555556
7,1.231884058,3.13,50.52,9,0.0019055679999999998,36005002702,2013,17.53623188,7.608695652000001,24928.0,27.0,21.95652174,22.4010163,1465,13.7,5.8,0.1418589511111111
8,0.0,2.48,64.49411765,8,0.00137836,36005002800,2013,32.64957265,11.96581197,58256.0,39.9,39.1025641,6.805651275,2427,9.0,3.6,0.220365305
9,0.0,2.66,84.22807018,1,0.0007861639999999999,36005003100,2013,29.91631799,7.322175732000001,36102.0,31.0,29.91631799,33.64779874,531,15.8,10.0,0.319182584
10,1.816608997,3.45,47.43125,4,0.0010037639999999999,36005003300,2013,16.78200692,9.256055363,28510.0,27.3,17.8200692,19.84943538,1225,17.4,5.6,0.18544539899999998
11,0.0,2.91,79.53781513,16,0.004237288,36005003500,2013,27.61830877,11.016291699999998,30035.0,28.7,30.25601241,17.74364407,1346,14.9,4.2,0.2333156705
12,0.0,2.42,86.14285714,7,0.02892562,36005003700,2013,51.0,0.0,30688.0,42.6,51.0,0.0,100,16.1,0.0,0.26033058
13,0.0,3.25,58.07633588,2,0.001549187,36005003800,2013,15.11335013,3.778337531,55400.0,28.5,16.62468514,10.99922541,441,12.0,10.0,0.1525949195
14,3.959873284,3.17,83.34834835,6,0.0009918989999999999,36005003900,2013,29.83104541,15.57550158,40869.0,30.2,36.85322070000001,22.69796661,2205,12.4,14.1,0.22813677
15,3.06122449,3.0,70.61576355,3,0.002040816,36005004001,2013,30.0,9.183673469,66040.0,39.9,33.26530612,14.76190476,564,9.8,13.1,0.180952352
16,7.259259258999999,3.05,83.93296089,15,0.002412351,36005004100,2013,29.234567900000002,16.19753086,30864.0,25.9,29.62962963,9.295593438,2189,16.3,7.5,0.1048568568
17,3.5159141380000003,2.75,27.05263158,50,0.006730381,36005004200,2013,30.97705403,7.068837898,37429.0,34.5,34.64100666,4.536276753,2797,23.5,3.4,0.07322654527999999
18,3.758982863,2.93,40.375,16,0.002999625,36005004300,2013,29.18739635,8.844665561000001,35021.0,29.5,33.94140409,12.63592051,2005,14.1,9.8,0.17547806250000003
19,8.153477217999999,2.74,63.71084337,14,0.00292887,36005004400,2013,33.69304556,21.4028777,36338.0,35.5,34.47242206,7.635983264,1723,24.9,3.2,0.06066945000000001
