,Unnamed: 0,%housh_grandp_resp_for_grandch,avg_houshold_size,avg_bldg_age,gas_leaks,gas_leaks_per_person,geoid,lonely_housholder%,lonely_housholder_over65%,mean_houshold_income,median_age,nonfamily_housholds%,not_us_citizen%,total_housing_units,unemployed%,vacant_housing_units%,311compl_per_person
0,0,5.553494125,3.73,63.85895656,38,0.001257987,36005000200,17.43970315,8.188002474,75457.16667,38.3,20.51948052,13.33796802,8880,4.217565465,8.952702703,0.26159493145738955
1,1,1.9704868780000002,3.031666667,52.74993913,49,0.001424874,36005000400,16.31174339,5.876115577999999,85459.33333,38.01666667,21.52513917,7.444240891000001,12399,3.986739946,8.726510202,0.19168921443284076
2,2,0.826587133,2.815,56.21929825,99,0.0028617679999999998,36005001600,27.15807414,13.58329783,47136.66667,37.46666667,27.94205369,16.51731514,12290,3.173960802,4.515866558,0.14597906965315066
3,3,2.451161076,2.425,83.27222222,38,0.00237708,36005001900,37.67047549,1.787688905,47365.33333,31.33333333,47.80685588,15.83260353,5763,8.438633805,5.8476487939999995,0.644376373492281
4,4,4.998346743,2.981666667,75.92155452,314,0.00580632,36005002000,29.49961424,13.12685991,34932.0,33.41666667,30.34277527,9.354832745,19106,5.571478762999999,5.024599601999999,0.1419959605872945
5,5,0.0,4.5925,2.5,60,0.10434782599999999,36005002400,0.0,0.0,,27.9,0.0,51.47826087,127,0.0,0.0,0.8417391277570008
6,6,4.854981083999999,2.963333333,83.6048951,172,0.005227328,36005002500,28.34624392,11.57449108,32017.0,29.83333333,31.86813187,25.19450523,12393,3.5314855339999998,10.41717098,0.2606370131959505
7,7,4.190594443999999,2.8283333330000002,86.82320442,87,0.004774973,36005002701,27.79760981,9.064100574,27529.33333,28.0,29.05478814,18.04610318,6626,5.729967069,2.761847268,0.12178924800197463
8,8,3.4385303819999997,3.0783333330000002,52.52255226,58,0.002063469,36005002702,21.97362223,8.031088083,27735.16667,27.31666667,26.15402732,18.35776291,8834,3.917034296,3.871405932,0.17543047164821723
9,9,0.894441684,2.333333333,66.60818713,72,0.0021890489999999998,36005002800,35.16717541,18.15858593,58575.666670000006,42.31666667,39.177965500000006,6.524581192,14583,4.80070536,3.4012205989999997,0.22614090422385824
